GENE	Pre-sortedPrfGL117	Pre-sortedPrfXMG
C7orf72	1.21077	0.633371
C14orf80	9.60236	12.3921
C12orf29	1.52892	2.46912
C19orf57	0.382183	0.288236
C3orf30	0.0	0.0
C8orf89	0.0	0.0
C14orf39	0.0	0.0
C16orf92	0.0	0.0
C3orf67	0.0820003	0.193724
C3orf38	22.7022	27.1294
TEX50	0.0	0.0
C18orf54	3.63543	4.55572
C2orf73	0.0	0.0
C1orf185	0.0	0.0
KIAA0040	18.4436	12.7994
C5orf47	0.0	0.0
C6orf222	0.369459	0.208001
C17orf107	0.0	0.0
C11orf65	0.118381	0.0574564
C1orf105	0.060443	0.037584
C16orf96	0.00676956	0.0
LOC102723451	0.0	0.0
C17orf100	0.0193692	0.048215
CXorf36	0.0	0.0
C8orf74	0.0	0.0
C4orf17	0.0	0.0
C4orf46	6.13631	9.53783
C3orf20	0.00857167	0.0107555
C11orf54	3.39026	3.09272
KIAA0355	4.07097	4.2688
C14orf93	1.7548	2.45182
KIAA0895L	0.522408	0.56626
KIAA1109	4.67068	3.29953
C21orf62	0.0268891	0.0505781
C16orf78	0.0	0.0
C10orf120	0.0	0.0
C17orf74	0.0190655	0.0
C16orf86	0.0	0.0
C10orf62	0.0	0.0
LOC101929469	0.0280859	0.0703011
C6orf201	0.0	0.0
KIAA0753	2.79908	2.66333
C9orf43	0.2779	0.3646
C1orf43	19.4493	21.6682
KIAA0930	15.7837	11.9825
KIAA1324	0.078891	0.19013
CXorf21	3.72609	3.11946
C1orf216	1.0204	0.464896
C17orf75	3.64048	2.34769
C4orf32	10.6922	15.2709
C1orf106	0.0434028	0.0415165
C15orf59	0.0138804	0.0179456
C5orf22	5.99153	11.2877
C17orf99	1.02973	5.75995
LOC728392	1.53904	1.89005
C19orf68	0.910528	0.780457
KIAA0513	7.03826	4.12138
C20orf173	0.128531	0.101053
C3orf18	0.058768	0.0897489
KIAA1456	0.0	0.0
C20orf96	0.0149198	0.0
C18orf25	2.77706	3.01924
C10orf10	0.0	0.0593208
C14orf159	5.06619	4.61964
C16orf62	15.8016	18.3888
C6orf141	0.119239	0.209856
C10orf76	3.87798	3.91009
C8orf76	19.814	21.6179
C11orf70	0.206585	0.40467
KIAA0408	0.0	0.00731555
KIAA1324L	0.0131033	0.0164934
C1orf159	6.78432	9.76509
KIAA1462	0.153943	0.459347
C5orf15	37.3865	44.1392
KIAA0895	0.280411	0.940179
C8orf58	1.0252	1.09636
KIAA2026	1.71805	1.55388
C1orf109	4.7197	3.16541
ASIP	3.97086	1.94848
C1orf74	2.92277	2.54531
A1BG	0.0	0.0
A1CF	0.0	0.00951592
C19orf66	11.3421	11.8656
A2M	0.0	0.0149418
A3GALT2	0.224963	0.0494916
C1orf174	23.3469	30.5007
C15orf52	0.0740795	0.0995039
A4GALT	1.50354	1.74002
A4GNT	0.0	0.0
C14orf180	0.0	0.0137795
KIAA1024L	0.0	0.0
KIAA1107	0.602948	0.458682
C8orf34	0.0	0.00729535
CXorf23	1.30454	1.69007
C11orf91	0.0582787	0.0
C15orf48	12.5368	19.5869
C1orf116	0.397052	0.518279
AAAS	29.1071	39.1567
AACS	7.61702	8.2001
AADAC	0.0	0.0
AADACL2	0.0	0.0
AADACL3	0.0	0.0
AADAT	0.0	0.0
AAED1	6.16109	6.4962
AAGAB	21.7405	19.9962
AAK1	3.05636	2.98557
AAMDC	7.68946	6.27709
AAMP	53.0645	55.1782
AANAT	0.0	0.0
AAR2	6.6139	6.74864
AARD	0.0	0.0
AARS	35.2801	45.319
AARS2	4.29647	4.81398
AARSD1	23.9403	33.1535
AASDH	2.32508	2.68613
AASDHPPT	4.2908	5.69885
AASS	0.0	0.0
AATF	16.4283	17.1541
AATK	2.5538	1.60924
C19orf38	131.436	60.922
ABAT	0.0459059	0.190306
ABCA1	3.92668	0.908457
ABCA12	0.0	0.0
ABCA13	0.995909	0.860319
ABCA2	9.21084	9.29521
ABCA3	6.42363	6.23753
ABCA4	0.0	0.00484913
ABCA5	0.118597	0.0742657
ABCA6	0.325476	0.0
ABCA7	16.4001	17.4739
ABCA8	0.0627679	0.0121092
ABCA9	0.152184	0.0557865
ABCB10	8.42139	29.8532
ABCB11	0.0	0.0
ABCB1	1.24351	1.32123
ABCB4	2.66804	11.0028
ABCB5	0.0	0.0
ABCB6	6.25512	11.0242
ABCB7	3.3906	4.91283
ABCB8	10.03	11.7616
ABCB9	8.31634	13.9271
ABCC1	5.93845	7.08568
ABCC10	2.30057	1.59325
ABCC12	0.0	0.0
ABCC2	0.0716724	0.105241
ABCC3	1.79111	1.46536
ABCC4	7.0928	7.38094
ABCC5	5.59652	5.1562
ABCC6	0.0187359	0.0
ABCC8	0.00593411	0.00757115
ABCC9	0.00418856	0.273056
ABCD1	21.0406	18.1811
ABCD2	4.36285	2.59613
ABCD3	5.68396	8.66476
ABCD4	4.30402	3.57254
ABCE1	29.4214	39.9961
ABCF1	42.8921	54.4263
ABCF2	29.8783	41.237
ABCF3	12.73	14.9793
ABCG1	17.6654	10.2242
ABCG2	4.48887	13.2358
ABCG4	0.802914	6.0698
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	2.97702	2.29426
ABHD10	6.08061	8.62458
ABHD11	25.2437	24.8238
ABHD12	39.3076	29.4459
ABHD12B	0.0	0.0
ABHD13	5.20916	4.71765
ABHD14A	6.71613	9.07208
ABHD14B	4.40673	3.7201
ABHD15	1.24838	0.85177
ABHD16A	27.3531	26.5737
ABHD16B	0.0	0.0259846
ABHD17A	56.7495	56.5448
ABHD17B	19.0042	14.9787
ABHD17C	13.0829	12.5907
ABHD2	5.74747	6.7021
ABHD3	0.413256	0.0911749
ABHD4	8.47742	9.17094
ABHD5	4.48303	12.0068
ABHD6	2.19995	2.60993
ABHD8	20.2687	20.7947
ABI1	23.4287	22.9564
ABI2	1.31578	1.83031
ABI3	15.9543	12.7792
ABI3BP	0.0	0.00938868
ABL1	10.594	7.75106
ABL2	2.80898	1.87113
ABLIM1	24.6501	25.6253
ABLIM2	0.224792	0.420162
ABLIM3	0.00643139	0.00812714
ABO	0.0	0.0
ABR	25.1334	23.3781
ABRA	0.0	0.0
ABRACL	76.9857	84.1086
ABT1	4.09835	3.8751
ABTB1	26.6503	23.9248
ABTB2	6.60193	6.05041
ACAA1	28.5854	30.9517
ACAA2	33.724	37.2949
ACACA	3.91519	5.25371
ACACB	0.298942	0.362325
ACAD10	0.955098	0.89412
ACAD11	2.97118	4.2878
ACAD8	5.11948	4.88754
ACAD9	7.42242	9.02925
ACADL	89.4517	90.8513
ACADM	15.8752	16.7537
ACADS	20.4529	20.5424
ACADSB	3.82074	4.237
ACADVL	30.545	28.7011
ACAN	0.0	0.0
ACAP1	56.2115	54.7016
ACAP2	7.12684	6.35407
ACAP3	7.17236	7.8288
ACAT1	14.2999	18.4653
ACAT2	4.26899	6.19204
ACBD3	10.6086	10.922
ACBD4	6.74284	5.98815
ACBD5	6.81567	6.10266
ACBD6	33.4877	35.2889
ACBD7	0.0729367	0.0
ACCS	4.9957	2.06077
ACCSL	0.0258586	0.0162525
ACD	29.1748	28.9363
ACE	2.42385	1.32676
ACE2	0.0	0.0101825
ACER1	0.0396974	0.0166626
ACER2	0.291897	0.278534
ACER3	6.61723	6.08852
ACHE	0.424014	3.53952
ACIN1	51.3883	59.6943
ACKR2	1.48095	0.732775
ACKR3	0.95709	1.2835
ACKR4	0.0574062	0.0728566
ACLY	37.2904	43.2441
ACMSD	0.100153	0.463413
ACO1	9.1902	10.0353
ACO2	65.1009	74.7864
ACOT1	3.40436	2.80309
ACOT9	0.0	0.0250189
ACOT11	0.963956	1.6674
ACOT12	0.0	0.0
ACOT13	21.5579	24.2729
ACOT2	4.27948	2.96358
ACOT4	0.0477444	0.0404888
ACOT6	0.232497	0.518361
ACOT7	30.0442	57.7329
ACOT8	11.676	14.483
ACOX1	7.5313	6.23954
ACOX2	0.0	0.0
ACOX3	17.664	12.4853
ACOXL	1.36887	1.40155
ACP1	16.275	23.8127
ACP2	13.5067	9.55961
ACP5	82.503	61.5753
ACP6	7.29343	6.81264
ACPP	1.81633	1.25639
ACPT	0.0	0.0
ACR	0.0	0.0
ACRBP	3.00818	3.64318
ACRV1	0.0	0.0
ACSBG1	5.10038	4.24563
ACSBG2	0.0	0.0
ACSF2	11.872	7.65308
ACSF3	6.52339	7.49986
ACSL1	15.7482	15.6001
ACSL3	1.80559	2.29863
ACSL4	5.78327	6.15841
ACSL5	61.5537	81.5277
ACSL6	0.249705	1.52289
ACSM1	0.0	0.0
ACSM2A	0.0	0.0
ACSM3	0.214483	0.483036
ACSM4	0.0	0.0
ACSM5	0.0315926	0.0
ACSS1	11.8083	12.9616
ACSS2	4.79151	6.06924
ACSS3	0.0	0.0
ACTA1	0.0	0.0
ACTA2	0.222117	0.522185
ACTB	1741.14	2217.41
ACTBL2	0.011596	0.0291743
ACTC1	0.0	0.0
ACTG1	1003.35	1362.41
ACTG2	0.196838	0.192134
ACTL10	0.0	0.0329981
ACTL6A	32.8196	42.8355
ACTL6B	0.0	0.0
ACTL7A	0.0180528	0.0
ACTL7B	0.0	0.0580698
ACTL9	0.0	0.0
ACTN1	12.2049	19.9648
ACTN2	0.115438	0.146302
ACTN3	0.132816	0.0972553
ACTN4	47.2074	62.0453
ACTR10	17.2763	17.136
ACTR1A	50.4833	49.9858
ACTR1B	24.5412	25.0865
ACTR2	102.144	107.814
ACTR3	244.164	261.844
ACTR3B	1.14996	0.923064
ACTR5	9.64098	8.32872
ACTR6	3.72972	5.41731
ACTR8	12.0967	12.7347
ACTRT1	0.0	0.0
ACTRT2	0.0	0.0
ACTRT3	0.0522847	0.0223952
ACVR1	0.783263	0.867191
ACVR1B	4.06177	2.93035
ACVR1C	0.00406951	0.0
ACVR2A	0.579072	0.373728
ACVR2B	0.147405	0.0956342
ACVRL1	6.08832	2.96566
ACY1	5.82611	6.98256
ACY3	0.442426	0.567164
ACYP1	10.9123	16.7456
ACYP2	1.94692	2.00857
ADA	28.4417	32.0987
ADAD1	0.0	0.0
ADAD2	0.0	0.0
ADAL	3.18042	3.58095
ADAM10	17.2981	20.5002
ADAM11	0.758953	0.812162
ADAM12	0.0	0.02848
ADAM15	10.7629	8.54602
ADAM17	16.072	17.9761
ADAM18	0.0	0.0
ADAM19	20.5798	21.0583
ADAM1A	0.312277	0.408265
ADAM1B	0.00951506	0.0119922
ADAM2	0.0	0.0
ADAM20	0.0	0.0
ADAM21	0.0110022	0.0
ADAM22	0.0951433	0.126531
ADAM23	0.251815	0.666104
ADAM28	0.0364868	0.0
ADAM29	0.0	0.0
ADAM30	0.025929	0.0
ADAM32	0.0127349	0.0320634
ADAM33	0.105575	0.183481
ADAM5	0.0	0.0
ADAM7	0.0	0.0
ADAM8	13.2891	18.865
ADAM9	12.4709	6.6275
ADAMDEC1	3.1198	3.15365
ADAMTS1	0.0127157	0.184075
ADAMTS10	10.0806	8.98246
ADAMTS12	0.0	0.0
ADAMTS13	0.0	0.00769421
ADAMTS14	4.98398	4.08546
ADAMTS15	0.0	0.00650732
ADAMTS16	0.00552877	0.0
ADAMTS17	0.00470051	0.0
ADAMTS18	0.0	0.0
ADAMTS19	0.0	0.0
ADAMTS2	0.0245642	0.0246872
ADAMTS20	0.0939354	0.0639995
ADAMTS3	0.209891	0.313404
ADAMTS4	0.0	0.0984242
ADAMTS5	0.00428787	0.171743
ADAMTS6	0.800998	0.668071
ADAMTS7	0.0	0.0273793
ADAMTS8	0.00813569	0.0
ADAMTS9	0.0145649	0.0493412
ADAMTSL1	0.00364112	0.00922541
ADAMTSL2	0.0168315	0.0752196
ADAMTSL3	0.0115471	0.0194263
ADAMTSL4	3.3886	1.37512
ADAMTSL5	0.0883725	0.290958
ADAP1	38.3226	45.5409
ADAP2	6.73371	2.20308
ADAR	29.0511	34.1319
ADARB1	0.171921	0.269907
ADARB2	0.0	0.0
ADAT1	0.911676	1.48753
ADAT2	5.05872	4.96514
ADAT3	4.90112	4.20648
ADCK1	6.4843	5.95869
ADCK2	5.19413	4.96139
ADCK5	6.22397	6.18841
ADCY1	0.0194551	0.00616762
ADCY10	0.0	0.0
ADCY2	0.0	0.0
ADCY3	2.12317	2.72227
ADCY4	1.9082	0.368726
ADCY5	0.0189369	0.0162722
ADCY6	1.83985	5.85731
ADCY7	26.401	25.5889
ADCY8	0.0	0.0
ADCY9	0.111448	0.259021
ADCYAP1	0.0	0.0
ADCYAP1R1	0.0	0.0129467
ADD1	35.0109	56.2962
ADD2	2.41136	13.6372
ADD3	23.4283	21.688
ADGB	0.648973	0.0515223
ADH1C	0.0963784	0.0610898
ADH4	0.0237477	0.0
ADH5	47.585	51.3179
ADH7	0.0	0.0
ADHFE1	0.468864	0.331804
ADI1	15.786	14.9253
ADIG	0.0631902	0.0
ADIPOQ	0.0240227	0.0609336
ADIPOR1	85.7554	93.6932
ADIPOR2	29.1871	34.2688
ADK	28.0127	39.8023
ADM	0.307325	0.259041
ADM2	0.0305801	0.156796
ADNP	17.9594	17.5451
ADNP2	4.17899	4.3121
ADO	5.21102	4.36938
ADORA1	0.0111255	0.0
ADORA2A	11.2821	16.2987
ADORA2B	0.842628	2.67328
ADORA3	1.79521	2.1841
ADPGK	27.1757	36.8864
ADPRH	50.4518	58.2009
ADPRHL1	0.0223378	0.0
ADPRHL2	15.6077	14.7154
ADPRM	11.6576	13.4901
ADRA1A	0.0	0.0
ADRA1B	0.0	0.0130391
ADRA1D	0.0	0.0232637
ADRA2A	0.054213	0.168175
ADRA2B	0.0	0.0107447
ADRA2C	0.0	0.0
ADRB1	1.69167	2.56069
ADRB2	15.7073	11.3775
ADRB3	0.0	0.0
ADRM1	70.4704	75.2421
ADSL	14.3733	20.3299
ADSS	32.0284	32.8654
ADSSL1	26.6983	21.2277
ADTRP	0.493634	0.405394
AEBP1	0.0526295	0.261349
AEBP2	23.9983	27.2336
AEN	12.9708	14.7931
AES	144.558	164.104
KIAA1024	0.0	0.0
AFAP1	0.342332	0.450758
AFAP1L1	0.290825	0.273286
AFAP1L2	0.0407569	0.138452
AFF1	7.94971	7.85732
AFF2	0.0	0.0225248
AFF3	5.27902	3.24113
AFF4	4.52407	3.44661
AFG3L2	19.848	23.7018
AFM	0.0466822	0.019457
AFMID	6.34345	7.22447
AFP	0.439201	0.265695
AFTPH	17.1671	16.6602
AGA	9.50682	10.9085
AGAP1	0.581578	0.853488
AGAP2	9.50652	9.51097
AGAP3	10.3784	11.1838
AGBL1	0.0	0.0
AGBL2	0.00837679	0.0104875
AGBL3	0.348723	0.153729
AGBL4	0.0324335	0.0
AGBL5	4.52135	4.49906
AGER	2.98684	1.72618
AGFG1	15.0408	20.5004
AGFG2	8.19072	13.9082
AGGF1	16.4708	16.2628
AGK	6.30878	7.52563
AGL	1.70039	1.7109
AGMAT	0.0234564	0.0302665
AGMO	0.359002	0.0641853
AGO1	5.68923	5.49208
AGO2	3.5319	5.12547
AGO3	0.431269	0.400034
AGO4	0.94719	0.46988
AGPAT1	23.2003	37.3218
AGPAT2	14.3718	17.2247
AGPAT3	23.8521	22.3525
AGPAT4	11.4817	18.9511
AGPAT5	9.00846	9.47813
AGPS	6.48118	10.3506
AGR2	0.0	0.0
AGR3	0.0	0.0
AGRN	1.49998	3.19129
AGRP	0.288367	0.0730255
AGT	0.015601	0.0
AGTPBP1	4.44059	5.83227
AGTR1	0.218513	0.971093
AGTR2	0.0	0.0
AGTRAP	15.663	8.65424
AGXT	0.0	0.0
AGXT2	0.101923	0.0429006
AHCTF1	8.41902	9.39545
AHCY	53.9746	76.7848
AHCYL1	23.686	24.9584
AHCYL2	5.80126	6.63275
AHDC1	2.15954	2.5563
AHI1	1.53643	2.94244
AHNAK	6.66192	5.3073
AHR	0.813473	1.23358
AHRR	0.200402	0.0456971
AHSA1	80.9529	107.094
AHSA2	11.5773	15.1237
AHSG	0.0	0.0
KIAA0368	14.7857	16.2919
C8orf48	0.314802	0.156664
KIAA1161	0.0	0.0100362
C16orf54	32.2438	33.7105
C11orf87	0.0	0.0
C2orf49	3.73819	4.17095
C11orf68	27.0885	24.5453
C11orf84	5.94468	4.27412
AICDA	3.25994	3.26263
AIDA	16.8895	19.4208
AIF1	60.3113	34.2935
AIF1L	0.0604606	0.0632011
AIFM1	14.049	22.2907
AIFM2	6.30696	3.69695
AIFM3	0.0	0.0568922
AIG1	9.70234	6.12853
CRYBG1	7.90246	9.21265
CRYBG2	0.238776	0.214779
AIM2	18.0369	10.8876
AIMP1	56.2457	59.1309
AIMP2	23.045	35.3216
AIP	35.7414	38.8305
AIPL1	0.426223	0.276591
AIRE	0.650879	0.44594
AIRN	1.30859	0.499751
AJAP1	0.0	0.0
AJUBA	0.0889561	0.153804
AK1	0.146234	0.102244
AK2	82.1127	88.7329
AK3	19.063	21.834
AK4	0.153869	0.59665
AK5	0.018136	0.0115695
AK6	13.7651	23.2118
AK7	0.862855	0.766659
AK8	0.518323	0.589047
AKAP1	3.05386	4.77638
AKAP10	6.79562	7.5754
AKAP11	2.01567	2.38531
AKAP12	0.906905	0.828802
AKAP13	17.3081	14.0992
AKAP14	0.0179984	0.0220746
AKAP2	1.5833	1.00841
AKAP3	0.008438	0.0
AKAP4	0.0	0.0
AKAP5	0.0655578	0.0546456
AKAP6	0.00267935	0.0403168
AKAP7	1.99165	1.58841
AKAP8	29.2008	23.8596
AKAP8L	24.0788	18.4542
AKAP9	3.28437	2.60726
AKIP1	14.3608	16.2367
AKIRIN1	30.5447	27.7248
AKIRIN2	19.2205	28.3184
AKNA	47.5155	50.6313
AKNAD1	0.0	0.089778
ALPI	0.0	0.0
AKR1A1	313.969	248.449
AKR1B10	15.1939	12.1066
AKR1B1	34.5684	33.6283
AKR1C3	0.0	0.0
AKR1C2	0.0	0.0
AKR1C4	0.0	0.0
AKR1D1	0.0	0.0
AKR1E2	4.07212	7.06274
AKR7A2	7.54196	9.13539
AKT1	90.1977	88.3192
AKT1S1	16.0117	13.9821
AKT2	33.3614	38.4616
AKT3	5.20882	3.31457
AKTIP	5.61251	6.2884
ALAD	9.35319	22.3481
ALAS1	23.7936	36.629
ALAS2	29.3438	211.739
ALB	0.0145422	0.0
ALCAM	9.64896	9.28229
ALDH16A1	22.2388	21.7644
ALDH18A1	19.9037	30.1882
ALDH1A1	2.70955	18.1524
ALDH1A2	0.571081	0.929423
ALDH1A3	0.0398298	0.0203143
ALDH1B1	7.48312	6.40814
ALDH1L1	1.95143	0.613319
ALDH1L2	0.162632	0.140357
ALDH2	97.6943	82.3413
ALDH3A1	0.0919954	0.0465527
ALDH3A2	15.5424	14.7316
ALDH3B1	30.5167	21.0556
ALDH3B2	0.0976484	0.0880791
ALDH4A1	3.38224	5.17027
ALDH5A1	0.32286	0.23461
ALDH6A1	1.63243	0.877805
ALDH7A1	4.23085	5.79385
ALDH8A1	0.0388923	0.0162892
ALDH9A1	38.7849	39.917
ALDOA	364.244	461.141
ALDOB	0.0	0.0
ALDOC	2.13655	2.09675
ALG1	12.032	11.9609
ALG10B	5.05718	4.53483
ALG11	2.82511	2.74544
ALG12	6.33501	7.08378
ALG13	2.69409	3.08524
ALG14	5.6356	8.81807
ALG2	7.0677	9.41852
ALG3	15.0803	19.4036
ALG5	46.3139	35.7622
ALG6	2.51936	4.08455
ALG8	12.2993	19.5377
ALG9	6.75566	10.4102
ALK	0.0	0.0
ALKBH1	10.3593	10.1509
ALKBH2	4.81997	7.66822
ALKBH3	17.2437	14.2387
ALKBH4	9.17273	8.61327
ALKBH5	13.7217	17.4777
ALKBH6	17.6907	16.4545
ALKBH7	4.67742	8.98863
ALKBH8	3.28423	3.58828
ALLC	0.0	0.0
ALMS1	0.886431	1.05675
ALOX12	0.60599	0.488232
ALOX12B	0.0	0.0
ALOX15	0.737763	13.8553
ALOX5	5.89282	9.50197
ALOX5AP	251.132	160.28
ALOX15B	0.159136	0.21153
ALOXE3	0.0489879	0.046846
ALPK1	1.40562	1.09094
ALPK2	0.520962	0.639549
ALPK3	0.0545489	0.0198676
ALPL	18.3533	13.9219
ALPPL2	0.0	0.0
ALS2	3.32578	3.81519
ALS2CL	5.25212	4.9557
ALS2CR12	0.0487162	0.0595807
ALX1	0.0	0.0
ALX3	0.0	0.0199428
ALX4	0.0	0.0
ALYREF	54.5903	83.6747
AMACR	1.07711	1.78113
AMBN	0.0	0.0
AMBP	0.0	0.0297319
AMBRA1	10.6882	8.76196
AMD1	0.0118489	0.020656
AMDHD1	0.0520655	0.13318
AMDHD2	18.9009	17.5884
AMELX	0.0	0.0
AMER1	0.713371	0.638184
AMER2	0.113541	0.241593
AMER3	0.00622334	0.0
AMFR	42.9272	46.5081
AMH	0.498579	0.352731
AMHR2	0.0676958	0.0873678
AMIGO1	0.57393	0.981713
AMIGO2	4.26739	5.2964
AMIGO3	5.29045	3.77352
AMMECR1	1.0089	2.04509
AMMECR1L	5.81955	7.28065
AMN	0.130684	0.0682122
AMN1	3.39466	2.77915
AMOT	0.0748425	0.105951
AMOTL1	0.0577555	0.145539
AMOTL2	0.249876	0.685149
AMPD1	0.0713058	0.0602701
AMPD2	12.6018	15.9699
AMPD3	6.00598	8.75209
AMPH	0.0	0.0582723
AMT	0.295393	0.261593
AMTN	0.0	0.0
AMY2A	0.240755	0.0930021
AMY2B	0.0	0.0
AMZ1	1.65141	2.57076
AMZ2	7.65436	7.66488
ANAPC1	11.3998	13.9276
ANAPC10	2.57064	3.80107
ANAPC11	8.89832	10.2742
ANAPC13	70.3997	78.6591
ANAPC15	27.8415	30.7644
ANAPC16	44.6281	32.3021
ANAPC2	29.3419	31.9322
ANAPC4	19.8475	20.1266
ANAPC5	127.8	141.551
ANAPC7	14.5883	16.0155
ANG	1.79464	0.912592
ANGEL1	1.54312	1.62245
ANGEL2	15.8321	16.1214
ANGPT1	0.231086	0.303193
ANGPT2	0.00781548	0.0488632
ANGPT4	0.0	0.0
ANGPTL1	0.0379037	0.0
ANGPTL2	3.55777	4.63383
ANGPTL3	0.146481	0.121143
ANGPTL4	4.27054	4.66297
ANGPTL6	0.670625	1.095
ANGPTL7	0.139886	0.0160253
ANKH	3.60437	5.60277
ANK1	2.24444	12.5581
ANK2	0.0141341	0.017695
ANK3	0.16123	0.205137
ANKAR	0.0135259	0.00844903
ANKDD1B	0.400516	0.53915
ANKEF1	0.0	0.0
ANKFN1	0.0	0.0
ANKFY1	10.046	11.7521
ANKHD1	7.26626	7.21355
ANKIB1	6.33099	5.90063
ANKK1	0.0	0.0
ANKLE1	2.86633	11.095
ANKLE2	11.2881	12.7403
ANKMY1	0.120701	0.11001
