Gene	PrfGL117HostGeneTPM	Prf XMG host Gene TPM
LIG1	170.869208132159	175.255094080489
KCNA4	0.046233	0.0
OVOL2	1.42446728	0.566449001
CREB3L2	4.627667	3.13115
ALG8	32.637366	25.600629
GTPBP1	69.0687	67.5784
CDCA2	47.8194608	49.565295
PROK1	0.0	0.0
ZNF519	19.7707946	17.9123125
COX15	32.9358	18.47352
PDGFA	4.41458	0.566144
UTS2R	0.0	0.0
UBA1	284.72422	306.03701
RABL2A	6.1219459	4.195951
TSEN34	15.624989	19.583997
GJB2	2.04971	1.30697
PCDHA5	0.0	0.0
CCNO	0.616212	0.626583
DHDDS	26.543277	28.77707016
MAN1A2	43.39369	51.71947
SIM1	0.0	0.0
SIX5	1.24786	0.894228
SEL1L	39.425017	36.096591
COPG2	26.4398209	26.903561
NAXE	74.8917	69.1274
LRRC10B	0.0368551	0.05102
CHD2	39.599473	24.1992299
UBE2D2	73.06461	79.704312
NOXO1	0.5320192	0.387087
NXF2	0.131318	0.0453779
KRT1	0.0310038	0.0
SCYL1	43.4339	42.121
CAPN3	0.8744434	0.467442
FANCA	66.425336	32.0190148026501
LAMA1	0.0	0.0
TMEM86A	3.116809	3.09993
CPNE2	4.661372	8.559061
KIAA1161	0.0357202	0.0488822
CHMP2A	158.46571	172.696829
DNASE1	2.199274	3.497289
ZFAND1	19.0725719	16.200458
RNF208	1.24484	1.514665
SHISA4	0.0	0.281059
POLR2L	35.9449	39.6355
GLRA2	0.0	0.0
EN1	0.0	0.0
SHANK2	0.0	0.0
RELL1	5.210301	5.56283549666
CAVIN3	0.140406	0.0650371
MAP4K2	169.26122	133.528784
MPC1	85.646543	77.405115
PBDC1	32.676265	32.356853
MEIS2	0.240756	0.138490242
SLC7A10	0.244855	0.0
FAM26E	0.0138366	0.0
GTF3C1	27.0535463004702	28.262856
NOM1	36.7576	25.92635
LMAN2	81.6395	98.7545
JADE1	15.170702	14.5308381
TCF12	51.895328	46.0903528
C17orf62	63.931643	61.29925
TBC1D30	1.251037	2.270395
LENEP	0.0	0.0
CLPTM1	89.063455	91.78095
SOX15	0.586576	0.138546
SREK1IP1	8.42258	7.94276
AASDH	6.7336534	6.468922
INTS8	13.129655353	17.774889
APBB1IP	97.4526	91.863262
STX6	41.481333	48.320394
ALKBH6	22.598144	25.898115
FAM104A	12.9791	18.2162
DOCK10	96.6582998	74.352734
LUC7L3	71.321924	62.650232
ECT2L	1.969041	0.97086
SLC22A6	0.0	0.0
COG8	22.010718	28.08495
UPRT	5.38137	4.65123
PLEKHJ1	94.02725	101.04284
PRKCZ	2.908183	3.890906
HIRA	51.7815706	47.644225
OR4K1	0.0	0.0822244
R3HDM4	89.741007	80.39676
OR5K1	0.0	0.0
PSMD10	28.97976	35.85836
PUS7L	7.821835	8.923939
RPS27A	2153.10293	2056.223563
AKIP1	38.90015	39.57869
DCST1	0.18683577	0.2917045
TXNDC8	0.0	0.0
HNRNPDL	158.46443	138.15372
OPN1SW	0.254373	0.0770888
NDRG4	2.794228	1.852147
SND1	113.257091	115.97397
TSSK2	0.0	0.0
KLHL13	0.0	0.0
NACC2	1.001532	0.297784698215
ANKRD27	27.96482	26.288171
CAND1	67.04823	71.4519
ATG5	28.2291	30.3073
ZSCAN2	5.869677	4.667267
MTA2	246.16216	223.43564
CDC123	142.620598	151.116964
PTS	67.0745355	65.00890443928
ELOVL2	0.0199736	0.109894
CNDP2	88.4742	77.86182
MAP7D1	72.831462	73.450870427536
PCNA	386.87889	455.984751
IFI44	0.714423	1.296318
CLEC4F	0.0	0.0
HECTD2	1.303802	1.107331
DHTKD1	9.1081527	4.8596878
NFYB	48.727906	45.211967
ST6GAL2	0.0	0.0
SERP1	32.5749	44.2566
LIAS	34.715323	29.437296
PDHA1	79.43424	77.43841
POSTN	0.0	0.0
C1orf74	4.9996832	5.4112983687
TOMM7	99.2106	90.0446
KRT6B	0.0342361	0.0946949
SMG5	74.39964039	59.52724
MPP3	0.3683031	0.527041
LRRC4B	0.100777	0.038119
ZCCHC12	0.0	0.0
CYP3A7	0.0	0.035019
ENSA	63.98789	55.4142
GOLM1	24.67682	25.2361
LAG3	505.25015	453.20032
VPS26B	42.137822	44.7495
FCN1	0.3012465	11.9639
PPP2R1A	200.579944	210.258623
RIPPLY3	1.28546	1.21186
PDE1A	0.0181087307	0.0
NUDT10	2.52952	2.21781
MTMR11	1.8168063	2.207728
ZMYM2	6.50021	6.9521
PPP1R3G	1.072538	1.73368
GSG2	20.4932	19.7644
KCNQ2	0.1436402	0.0
NEK7	36.13273	39.34513
APLP1	5.337677	5.64714
CCT6B	0.476093	0.300318
USP3	82.182447	50.709972
PGBD5	0.0	0.0
MAT2B	89.64415	77.804375
ZP3	0.0	0.0
AMZ2	16.62607	19.868112
CCT8	263.780021	291.419738
PHLDA3	5.21685	9.64504
MICAL3	1.21326860511	2.5975439
MAP3K13	0.163855	0.14974
KHSRP	84.4296	97.3707
CD300LB	1.1133	0.591775
PA2G4	224.69329	262.24624
CNOT11	36.36398	32.98089
ZNRF1	21.6224500072784	19.53273
PLOD1	2.1115103	2.494392
TEX33	0.0	0.0
C14orf39	0.0763348	0.0540162
TSPAN4	15.493825	14.47388
PIGQ	56.610112495093	46.117243
DENND6A	6.11218	7.64212
MATR3	109.018426	117.173616863
CCL21	0.0	0.0
F10	0.403988	2.28328
PAX2	0.0	0.0
LOX	0.6788133	0.483557
GALNT11	10.157960586747	7.861041
COX6C	380.969833	365.83032
PRDM14	0.0294909	0.0407113
FBXL16	0.0217146	0.05906
PLAGL1	2.236986716308	3.2935500449657
CCDC91	3.893849	4.03072
AGA	15.594033	17.8704389
OCIAD1	228.593247	201.5384
C5orf46	0.0	0.0
ABRAXAS1	15.61726495	13.444332238
CPE	0.0	0.2243144
LRRC10	0.0	0.0
ZNF786	0.093837	0.0323107
ANKRD36	0.142792	0.0678876
ACTR1A	114.474	124.809
GORAB	6.092733	3.333353
TMEM106C	19.6749	19.8665
GYPC	24.88599	27.019943
GSTT1	8.86044	11.903908
FOXO6	0.0	0.0
THAP6	5.5360602	4.895722
SP6	0.294344	0.198136
AP2A1	74.8638025	72.686071
HELZ2	27.356371	23.994144
LRRC7	0.383579	0.0
NDST3	0.4196947	0.4467339
HNRNPA2B1	1084.79339	1043.31196
MAGEA2	0.0	0.0
KCNE1	0.0	0.0
ADAP1	131.752407	144.12458
PIAS4	30.64902	31.9718
SEMA3D	0.085482	0.3539285
PLSCR2	0.0411278028047	0.141219
TMEM59L	0.263312	0.513418
GPR21	0.0617559	0.0566429
GABRA2	0.019242	0.0288083
C10orf76	9.91559	9.73348
IRX5	0.0309371	0.0
KNSTRN	120.982628	116.7579
SERHL	57.389501	43.205526
OOSP2	0.0	0.0
PLVAP	0.0386314	0.107031
PLIN4	0.0383214	0.0
STK25	49.78619	48.39649
PEX3	14.6109230670109	15.4253691
ZMYND15	0.109262	0.106182
OR4N2	0.0213572	0.0291758
VSIG10	1.1491521	6.549186
PPP1R1A	0.799334	0.0
DENND2C	0.710838	0.8752938
P4HA2	0.231248	0.663388
IFI35	58.16732	63.40395
ADCY3	24.069851	19.540866
RAI14	1.38078	2.67535
CMPK1	52.43134	51.238
TEX19	0.0374447	0.103696
ABRACL	300.79663	295.00155
RNF44	91.19732544116	80.4812
LRP12	0.628158	0.82177
MRVI1	1.411048	0.1543514
PASK	9.005517	7.172688
PVR	13.169331	8.513952
RAD21	211.558	222.607
PREX1	219.221094	207.5173884
TGFB1I1	0.4434379	0.3426642
RNF34	23.1915	26.9194
FAM149A	0.170176	0.0
WNT3	0.658086	0.705215
LYSMD4	5.822561	3.829531
RTCA	60.040737	53.70837
LIPE	5.201407	4.03113
DNAJA2	153.7533	163.8696
IGF2	0.0403086	0.387923
DBNL	164.9934	192.5171
ANAPC5	286.874658	291.233140252
DLK1	0.0	0.0
SYBU	0.0	0.0660784
CYB5R4	62.55016	68.039324
GATC	15.445	14.447
BTN2A2	0.0366247	0.0
EFNA3	0.0	0.0
GTF2A2	61.446963	54.071491
HSD17B3	0.0	0.0
FAM193A	16.101934	13.471888
PICALM	118.315456900828	109.5429519
BHMT	0.0562202	0.0772942
ITGAL	364.40016	348.00763
IRGQ	5.69146	6.54693
CROCC	6.79768	3.16015954
GJA8	0.0741878	0.0581381
ANKRD13C	34.6163734	32.1102604
BMPER	0.0	0.0
HSPD1	244.87167	288.46999
SRRM3	0.358725	0.11194
SNHG11	0.751991	1.036626
NR0B1	0.0	0.0
NUP107	57.357698	58.925256
GLT8D1	5.78954	5.44757
PCDHB13	0.0	0.0
ATG10	4.41194	4.2791
STAG1	39.153505	39.966087
KLK9	0.212989	0.148353
TRUB1	3.59951	3.80565
BABAM1	114.65828	102.60352
TANC1	1.6565958	2.1787197
KIF1B	5.063677	7.312037
MTMR2	36.238697	31.023872
UBAC1	36.284631	36.135957
LOC102723451	0.0	0.0
TIAM2	0.2995354	0.4929328
RAP2A	6.919090380488	8.57689
ZC3H11A	64.52945	56.230772
DCUN1D4	3.90716800063038	4.85495000050208
SPNS3	1.3905007	1.321442
FBXO34	18.67406	15.05592
MDM2	80.684812	73.387608
IWS1	37.71468	30.513149
CDH9	0.0	0.0
KIF13A	0.384093	0.511836
PPP1R13B	6.450097	7.910898
PCGF6	11.4112	11.9596
KLKB1	0.0234739	0.0
TAX1BP1	100.842282	86.876168
MRPL12	105.0552	120.321
NIPAL4	0.238432	0.101226
TULP4	104.975268472166	98.891149
NLRP1	0.0632653	0.17471537125
PKLR	0.0810601	1.32374
ODF3	0.0	0.0664907
CLIP2	4.411756	4.411284
NFKB2	37.07253	40.80703
TLX3	0.0	0.0
ATXN7L3	70.604332	66.06857
ENTPD7	3.9502414	4.53387
CADPS2	0.0	0.0
KIF5A	0.0815968	0.35085
GPR55	19.4013	16.6722
DCTN5	78.638223	82.136768
CST7	217.432	246.985
ASB6	41.64423	41.38899
CYP24A1	0.0	0.0
GSTO1	147.639514	134.55174
HIST1H2AA	1.09874	5.97381
PTPN18	170.983691	205.8525302
SLC35F3	0.230543	0.0455252
NCOA2	41.3818591	40.1550512
RECK	6.12947	4.505871
OR11H6	0.0409031	0.0
FAM98A	24.870262	27.164604
TNFSF13B	5.857415	6.131353
TFIP11	42.512181	41.215745
RFTN1	38.86461	45.19051
COPS7A	45.00707	62.63812
PRDM8	0.0	0.0450771
LMX1A	0.0	0.0
ARHGAP20	0.0102219	0.0526628
ARSI	0.0	0.0347833
DCP1A	17.1979	17.8439
ITLN1	0.0	0.0
AHRR	0.2907805	0.0223494
GNB1	379.519376	423.10574155
DMKN	0.0	0.385254
GSTT2	52.884752	45.687458
CCDC125	12.475	9.180665
NDUFS6	155.9074	169.5606
JPH2	0.0	0.0
PSME3	169.34724	154.309902
HDHD3	2.53129	1.95876
EBPL	7.81218	9.23336
CD79A	0.216028	0.301028
TROVE2	0.717188	0.551491
DAXX	55.9736	59.5528156013
CTNNB1	112.648352159297	139.97607
RXFP3	0.0	0.0
PTOV1	10.01702	12.211124
DSCAML1	0.0	0.0618807
CRISP2	0.0	0.0
SLC9B2	5.028429	3.71424
PCBP1	200.147	280.389
EPG5	5.51574	5.1718
DNAAF2	11.5643	13.762
CD84	63.174397	58.798247
KRT10	1.233685	2.722812
PTH2R	0.0314238	0.0
THOC3	47.82841	47.443987
ZNF438	1.56259	0.963612
PYCR1	0.788849	2.015557
POLR2A	108.320664	99.140832
GSTA3	1.112524	0.0
RPRD1B	28.912096	28.639396993972
RASSF2	24.572849	33.633411
ADAM28	0.103987	0.0
L3MBTL1	0.0790816	0.0543838
BRINP3	0.0	0.0
SH3KBP1	221.0002546	215.73332
KDSR	6.1734742	9.3636795
USP11	16.276278	11.745006
IQCD	0.297255	0.206753
SLC45A2	0.0	0.0
CCDC154	0.0385899	0.0
COX10	19.592468	19.04556
PFDN2	80.3031	82.5911
CYP4F8	0.0	0.0
INA	0.210791	0.127192
SYNPO	2.4504794325146	2.82498006252
TMEM233	0.0	0.0
TNNI1	0.5122476	0.987279
ULK1	12.721537	11.505223
CYP2F1	0.0	0.0
ZNF354B	0.0	0.0
GALNT9	0.4572208	1.343385
RNH1	96.861294	112.6988
S100A13	123.551	120.398
HAUS2	15.2228	14.08113
PRKAB1	51.304595	45.5948600065113
SUPT16H	72.2998	72.0544
TTC32	6.6124729	6.584346
POLR1D	219.86612	233.65472
ACE2	0.0	0.0
PAPD5	32.739933	28.79377832
PES1	89.48582	90.218811
LRRC30	0.0	0.0
FOXD2	0.932996	1.08659
IL4R	16.631891	19.539714
SKIV2L	78.3566470058921	63.05383
TRIM37	27.893301	28.910387
TBPL2	0.0	0.0
PPIB	598.74416	640.16985
MAP9	1.6760465503	0.96289840590039
PITPNM1	124.54042	81.027964
ATXN10	63.2349	69.8135
KATNA1	45.817734	39.78292
STK10	82.30888	79.945444
CTSH	3.0371530108691	12.803857
SLC7A2	0.202668	0.0673716
SAP30L	34.2186	33.5266
SLIT2	0.00731267	0.0
GZMB	4328.4	3694.49
CWC27	22.1755	19.53305
OR14C36	0.0	0.0
LPAR6	1.47159	1.48249
UCN3	0.0	0.0
MCL1	135.563	159.0319
PRMT1	364.301505	425.661971
UEVLD	7.969844	9.150707
SIRT1	13.05501	10.830869
GINS3	11.967892	15.85768
C19orf24	19.1293	20.1705
RSPH1	4.57	4.46453
CHKA	9.896245	7.7260243
PTGER1	2.78138	0.996
HMGN5	72.7273	51.4706
RNF185	13.919106	12.16391
CLASP1	24.27039845	21.9447436
NARF	11.546056	15.28023
OR6B1	0.0	0.0
MAPK3	64.041172	70.971026
PTK6	0.323025	0.194401
PAXIP1	74.555736	59.4521903
NNT	14.175356	14.0470108
SSMEM1	0.139695	0.0
DDX5	887.94789	764.405
ADGB	0.0	0.0
TNFRSF11B	0.0	0.0
ARF4	59.544943	74.22822
RPLP0	3930.59323	4418.75139
USP29	0.2092773	0.0234005
OR5I1	1.25707	0.76632
MYL4	28.189204	29.789684
AKAP10	12.996107	12.6466665
PEBP4	0.0	0.0
RABGEF1	18.442202	16.088487
GSTK1	2.6556247	2.27272
RPL39	1334.68788	1226.81608
NABP2	118.761685	107.85310696
ZFYVE9	0.491989	0.253262
AGAP3	34.740159	38.548341
MRPS7	47.1772	52.86937
HPGDS	0.309206	0.08862
UPF3B	23.78267	19.397745
HYKK	0.6861398	0.4265024
FLOT2	57.511199046	59.4282600019554
FIGNL1	25.791217	36.94609
CCDC171	1.940413	1.634138
ADAMTS12	0.0	0.0
PTGS2	0.0664728	0.0
HOXD13	0.0	0.0
FGF1	0.0	0.02564038
ANKRA2	29.40755	26.157415
C12orf29	6.243304	8.412614
ERI1	38.118948	44.2298292
OR52B2	0.261324	0.0902967
GPS2	112.54574	89.23458
SLC25A13	11.613946	16.424148
RYR3	0.9590663	0.6783447359
ARHGEF7	26.186785	23.0076796
NAT1	0.0	0.0
TMPRSS5	0.0519328	0.0
ALDH3A1	0.0	0.0
CEP78	12.2008	11.1065
AURKC	0.0563779	0.0
RAB3IL1	0.191409	1.888568
NOG	0.0	0.0
PAPPA2	0.2085405	0.0104887
IL36G	1.4642	1.5755
OTOP1	0.0	0.101656383408471
ALDH3B2	0.0	0.0493713
SLC5A10	0.0798358	0.255441
PELI1	48.590835	36.792548
HEATR5B	11.4058	13.4819
EBNA1BP2	152.982336	149.02346
CYP4V2	5.32359	6.95601
LOC102723996	2.956799	4.405219
BCAM	0.2173332	0.3786065
NRK	0.0819761	0.0
SERTAD3	10.2173	11.0981
NELL1	0.0	0.0
SLC6A8	0.80907642458	0.94506876
DPP9	46.2711	48.6421
ARMC9	3.437047	4.252118
GPR155	2.7683278	3.500324
SNRNP25	57.619132	68.72708
PLA2G1B	0.244855	0.368096
CPNE9	0.0725834	0.0500253223827
BAAT	0.0	0.0
NDFIP1	343.752	345.58
GAPT	0.07454	1.23847
RSAD2	1.78958	4.242362
ALCAM	77.739173	66.36828
COL19A1	0.0135294	0.0
ATXN3	9.234671	9.31098
ST8SIA4	3.743883	5.4120159
FARS2	17.9827	17.3206
OR6K2	0.106503	0.0
UBE2V2	20.36646	35.77855
DDR2	0.3230533	0.4502083
ARHGEF4	7.8281985	3.789794
ARHGAP32	0.1864551	0.7124551
BMP5	0.0	0.0
TMEM70	22.62182	29.33575
MFGE8	18.645696	17.5349
PRKD3	16.220838	17.994036
SERPINB10	0.336493	0.942596
CELSR2	0.982144	2.4567719
ZBED6	4.61361	1.74753
NAPA	93.0078034035	78.49606
STT3B	45.8831	49.396
TTC4	36.834023	33.471055
AGFG2	35.850685	33.666949
ALOX15B	1.05967	1.21983
TMEM214	32.4015255	33.168935
CLCN2	1.6702481	0.951467
ZFYVE21	3.58181	3.98625
AQP5	0.0	0.0
SMARCD1	40.6029	33.3928
NKX2-3	0.0	0.0
ZFP62	12.34733651256	11.977039
GNPTAB	169.32406795	150.09112
HIF1AN	18.441518	16.6242
SUMO2	305.06873	368.47742
CTNNA1	22.5658	22.7338
SNAPC2	23.2164	26.82475
OR4C6	0.0	0.0
ST7L	15.0857533	13.0138155
ARPC5	415.35446	463.30054
RPL10	344.11707	469.77594
KRT81	0.0	0.137421
SOCS7	12.16889	9.97153
H1F0	70.6654	38.4973
FBXO47	0.317807	0.828937
LOC648044	2.48291	0.5584
LILRA5	0.0	0.0
GSN	15.368566	22.91169
SPIB	0.3188621	0.755613
HOXC13	0.0	0.0
TDRKH	0.585418	0.3641045423
GJA5	0.0	0.0996292
VSTM5	0.0385486	0.0
ZNF292	8.75937475	7.5479092595
MAK	0.0	0.0314516
C4orf36	0.0	0.0
SLC31A2	7.28888	7.33009
SIX3	0.0	0.173281
MRPL23	4.84917571645	13.945568
AZIN1	73.182874	87.710463
VNN3	0.042665	0.0591945
EXOC7	48.696808	44.20638
MTHFR	3.028707	4.6542650616918
FCER1G	46.508623	56.279504
USP43	0.0	0.0
OR5M10	0.0	0.0
SERAC1	1.252193	1.447808
LAIR1	11.17413084	11.5648309
STRA8	0.881322	0.190298
NEURL2	5.04869	3.97057
FITM1	0.0	0.0
C7	0.0	0.0
FRS3	0.32878	0.5763901
OCA2	0.0	0.0
ALKBH2	3.351001	6.120604
PSMD3	150.83539	178.2275796
NDP	0.0	0.0
OR4F21	0.0756858	0.0
FUT8	30.724942	30.118794
GRASP	5.94436	4.17488
EGFLAM	0.896992	0.7626298
F8	0.2612085	0.9034504
COG3	22.3654	18.5039
CNGB3	0.0	0.0
MAFA	0.0753352	0.105844
ZAN	6.291356	3.1548072
TNFAIP3	106.18788	38.07168
COPZ1	136.275	141.515
SEC62	36.117558	35.92593
ZNF446	2.966347	3.3288108
CDC26	62.35707	61.213613
ABCC1	16.1587137	14.525932394
IPO7	50.0893	57.2709455
CXCL10	3.765045	9.726846
RAB1B	181.641	199.557
PRSS43	0.0	0.0451483
CNTFR	0.0	0.0
KIFC2	2.00192	1.08337
MAVS	15.72196	19.235725
CCS	28.7938	26.9168
DGKH	11.3259	7.54115
AIP	111.990236	137.271191
TEX37	0.0	0.0
CCDC144B	0.555146	0.1979552
IKBKG	29.08399376638	30.56940659542
KIAA2022	0.0282826	0.0091426
FIZ1	21.370861	22.0763430013449
RAB35	77.5623	81.1334
OR4D5	0.0351613	0.0818334
HGS	28.924556	27.7715
RPL18	2355.20166	2415.8208642605
ODF2L	12.78694605	12.0840118
UGT2B10	0.0	0.0
SLC25A44	16.528422	17.2244
IGSF6	2.10817	4.4658
ZKSCAN1	3.89107	3.43747
FKBP14	0.0421894	0.384882
UPK2	0.0	0.0
MEI4	0.129523	0.0
RCE1	27.3918	28.3855
PAFAH1B2	74.447031	92.431889
RAI2	0.0	0.0
SPICE1	9.88474946	9.869046
GABRD	0.120154	0.0555127
USH2A	0.0	0.0
ACTRT2	0.0	0.0
ACOX1	10.067552	11.086414
CD7	105.66832	183.04545
DEFB129	0.0	0.0
OTOF	0.0319367	0.0
OR51T1	0.0	0.0
MPO	0.220448	39.96825
TSC22D1	2.2497329	4.284359
MPRIP	45.486591	36.268041
PPP2R2A	32.0358	33.5977
PWWP2A	23.86461	18.11063
STAC2	0.221312	0.203298
UCKL1	50.932807	39.108436
DCLRE1C	15.273132	10.95988
DLX5	0.0	0.0
CIB4	0.0	0.0
ENDOG	6.34111	13.3729
ATP6V1C1	38.154	45.0861
PLEKHA7	1.03777784	0.848941
SLC20A2	7.494678	6.6849709
SPIN4	2.78954	1.90468
RAB11FIP2	4.80069	2.75942
FBXO15	0.0	0.0764287
WDR18	30.668346	42.50036
PIK3AP1	95.4997	85.7565
POLB	18.17673	21.584452
KRTAP21-1	0.0	0.0
SIGLEC10	0.1471526	1.281872
BZW1	281.8281	276.86068
TAGLN3	0.0645212	0.0
MRPL15	105.289885	109.471629
DUSP18	0.709837	0.219378
HIC1	4.43667	6.278738
GLS2	0.63321832	1.803607
KPTN	22.484314	22.477794
CCL4	588.358	570.874
SLITRK2	0.0106811	0.0
ZNF707	15.2206140965457	12.455483
CD101	2.055602	3.069572
AMY2B	0.0068216	0.0
TPM4	333.7143	368.6818
SULT2A1	0.0	0.0
TMED1	7.74418	11.8007
ASCL3	0.0	0.0
DIABLO	37.408071	34.503998
PROM2	0.13858	0.145897
KCTD20	55.5364	59.9760406
TF	1.49967279	2.145018
CDC42EP2	0.157987	0.0733455
RECQL4	11.0464	10.6624
MON1A	13.6424	14.95895
COMTD1	18.95223	19.96031
TRAT1	0.257468	2.40053
YPEL4	0.1561148	0.704348
UGT1A5	0.0	0.0
AANAT	0.0585822	0.0
FRRS1	15.847114	20.518742
ISG20L2	59.0662	55.445
ATG4A	22.02824	19.48962
SUSD2	1.06962	1.44063
PGLYRP3	0.0	0.0
IKZF2	7.511964226041	9.8461876
OGDHL	0.670784	0.476511
RAB9A	13.976864	13.0442
HOXD3	0.0	0.0
TMED9	191.649	176.749
FAM214A	10.901704	7.510512
GSTM4	7.394453	6.56807
SLC35B4	19.88963	22.449096
AGR2	0.0	0.0
MOB1A	109.120611220602	119.99381
ERGIC1	44.211292	50.7838275
DRD2	0.0	0.0
MAL2	0.0	0.0
AMPD2	39.44533	31.593021
GSK3B	26.707872	24.86591
KLHDC7A	0.0377741	0.0398838
C8orf89	0.1386869	0.0580704
MVB12A	84.72864	101.623454
EDA2R	0.0155442	0.0490751
CDIP1	17.90788	16.002501
VBP1	43.649312	49.322388
ACD	63.155	54.30991
C8A	0.0421354	0.0
KRT73	0.0	0.0
GPR89B	16.549035	19.028635
SPTLC1	32.7315	36.013
LRRC17	0.322748	0.196202
SPRYD7	5.4733	6.91103
IFNGR1	288.24595	240.865445
HCN1	0.0155046	0.0
ZGPAT	47.121776	39.425187
HERPUD1	56.73695	70.49234
