NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		192	-0.24696504	-1.1090693	0.20278834	0.33661258	0.966	4505	tags=43%, list=27%, signal=58%
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		196	-0.24406666	-1.0969831	0.21927498	0.3467777	0.9738	5383	tags=41%, list=32%, signal=60%
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		193	-0.23925708	-1.0777621	0.24515845	0.37049702	0.9817	5565	tags=41%, list=33%, signal=61%
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.3219977	-1.0456964	0.37414068	0.42227003	0.9927	3528	tags=23%, list=21%, signal=29%
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		182	-0.2333732	-1.0344458	0.34786254	0.4312037	0.9942	8484	tags=58%, list=51%, signal=116%
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		197	-0.22965379	-1.0323517	0.33645657	0.42063126	0.9944	4748	tags=35%, list=29%, signal=48%
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		74	-0.25570437	-0.9850949	0.4509689	0.514142	0.9988	6386	tags=47%, list=38%, signal=76%
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		160	-0.21303959	-0.92874587	0.5951626	0.64070827	0.9998	5496	tags=31%, list=33%, signal=46%
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		111	-0.21666177	-0.89396566	0.6498987	0.7193102	0.9999	7313	tags=41%, list=44%, signal=72%
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		86	-0.21256681	-0.83538055	0.7707087	0.8711857	1	5886	tags=38%, list=35%, signal=59%
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.25725204	-0.8103466	0.7241018	0.9018841	1	4544	tags=19%, list=27%, signal=26%
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	133	0.33997154	1.4885361	0.035259955	0.5894666	0.7441	4034	tags=31%, list=24%, signal=40%
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	196	0.30047226	1.4011855	0.037153322	0.49747413	0.9014	2587	tags=27%, list=16%, signal=31%
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	195	0.29222304	1.3519409	0.059316486	0.435899	0.9554	2900	tags=28%, list=17%, signal=33%
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.26126924	1.2112018	0.14379428	0.66505826	0.9983	12341	tags=100%, list=74%, signal=383%
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	193	0.24781807	1.1482378	0.19498171	0.7056674	0.9996	4224	tags=28%, list=25%, signal=37%
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	196	0.24347863	1.128292	0.21363872	0.6399676	0.9999	1939	tags=20%, list=12%, signal=23%
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	146	0.23734155	1.0546749	0.32104033	0.7339633	1	12722	tags=100%, list=76%, signal=421%
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	191	0.21991046	1.0144649	0.36220884	0.7436687	1	13009	tags=99%, list=78%, signal=449%
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	195	0.20891964	0.9669284	0.42775318	0.7755654	1	3305	tags=26%, list=20%, signal=32%
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	196	0.19377488	0.89553803	0.5693316	0.88708067	1	13439	tags=98%, list=81%, signal=504%
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	193	0.18826634	0.8692639	0.6633871	0.9172573	1	13515	tags=95%, list=81%, signal=502%
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	155	0.19225757	0.8591305	0.65486485	0.90010256	1	13433	tags=94%, list=81%, signal=481%
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.20380668	0.8349814	0.64639056	1	1	13251	tags=98%, list=80%, signal=478%
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	95	0.19946219	0.8152016	0.7001289	1	1	13254	tags=87%, list=80%, signal=427%
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.20905274	0.75739133	0.7694795	1	1	13134	tags=91%, list=79%, signal=430%
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.20840405	0.7067509	0.8391464	0.97636366	1	13110	tags=86%, list=79%, signal=403%
